20230917
Seconds MEASURES_rh(%) MNH_RH_30m(%) "AR_RH (%)" Date_of_forecast Date_of_computing
37800 9.59508 9.21565 9.79497 "2023-09-17 16:30:00" "2023-09-17 15:40:00"
37800 9.59508 9.21565 9.85463 "2023-09-17 16:30:00" "2023-09-17 15:50:00"
37800 9.59508 9.21565 9.55644 "2023-09-17 16:30:00" "2023-09-17 16:00:00"
37800 9.59508 9.21565 9.45525 "2023-09-17 16:30:00" "2023-09-17 16:10:00"
37800 9.59508 9.21565 9.51893 "2023-09-17 16:30:00" "2023-09-17 16:20:00"
37800 9.59508 9.21565 9.63564 "2023-09-17 16:30:00" "2023-09-17 16:30:00"
38400 10.00328 9.06856 9.68473 "2023-09-17 16:40:00" "2023-09-17 15:50:00"
38400 10.00328 9.06856 9.33570 "2023-09-17 16:40:00" "2023-09-17 16:00:00"
38400 10.00328 9.06856 9.22021 "2023-09-17 16:40:00" "2023-09-17 16:10:00"
38400 10.00328 9.06856 9.30609 "2023-09-17 16:40:00" "2023-09-17 16:20:00"
38400 10.00328 9.06856 9.53884 "2023-09-17 16:40:00" "2023-09-17 16:30:00"
38400 10.00328 9.06856 9.52504 "2023-09-17 16:40:00" "2023-09-17 16:40:00"
39000 11.31803 8.94959 9.30908 "2023-09-17 16:50:00" "2023-09-17 16:00:00"
39000 11.31803 8.94959 9.16795 "2023-09-17 16:50:00" "2023-09-17 16:10:00"
39000 11.31803 8.94959 9.26411 "2023-09-17 16:50:00" "2023-09-17 16:20:00"
39000 11.31803 8.94959 9.57607 "2023-09-17 16:50:00" "2023-09-17 16:30:00"
39000 11.31803 8.94959 9.60528 "2023-09-17 16:50:00" "2023-09-17 16:40:00"
39000 11.31803 8.94959 11.17583 "2023-09-17 16:50:00" "2023-09-17 16:50:00"
39600 12.34262 9.26141 9.02816 "2023-09-17 17:00:00" "2023-09-17 16:10:00"
39600 12.34262 9.26141 9.14467 "2023-09-17 17:00:00" "2023-09-17 16:20:00"
