20230901
Seconds MEASURES_tau(ms) MNH_TAU0(ms) "AR_TAU (ms)" Date_of_forecast Date_of_computing
43800 1.66000 3.43495 1.77589 "2023-09-02 06:10:00" "2023-09-02 06:10:00"
44400 1.69750 3.45074 1.97331 "2023-09-02 06:20:00" "2023-09-02 05:30:00"
44400 1.69750 3.45074 2.07427 "2023-09-02 06:20:00" "2023-09-02 05:40:00"
44400 1.69750 3.45074 1.76976 "2023-09-02 06:20:00" "2023-09-02 05:50:00"
44400 1.69750 3.45074 1.78075 "2023-09-02 06:20:00" "2023-09-02 06:00:00"
44400 1.69750 3.45074 1.83806 "2023-09-02 06:20:00" "2023-09-02 06:10:00"
44400 1.69750 3.45074 1.72124 "2023-09-02 06:20:00" "2023-09-02 06:20:00"
45000 1.53352 3.40426 2.11304 "2023-09-02 06:30:00" "2023-09-02 05:40:00"
45000 1.53352 3.40426 1.77194 "2023-09-02 06:30:00" "2023-09-02 05:50:00"
45000 1.53352 3.40426 1.78475 "2023-09-02 06:30:00" "2023-09-02 06:00:00"
45000 1.53352 3.40426 1.86093 "2023-09-02 06:30:00" "2023-09-02 06:10:00"
45000 1.53352 3.40426 1.67522 "2023-09-02 06:30:00" "2023-09-02 06:20:00"
45000 1.53352 3.40426 1.69737 "2023-09-02 06:30:00" "2023-09-02 06:30:00"
45600 1.45917 3.35572 1.77243 "2023-09-02 06:40:00" "2023-09-02 05:50:00"
45600 1.45917 3.35572 1.78621 "2023-09-02 06:40:00" "2023-09-02 06:00:00"
45600 1.45917 3.35572 1.87753 "2023-09-02 06:40:00" "2023-09-02 06:10:00"
45600 1.45917 3.35572 1.63743 "2023-09-02 06:40:00" "2023-09-02 06:20:00"
45600 1.45917 3.35572 1.66558 "2023-09-02 06:40:00" "2023-09-02 06:30:00"
45600 1.45917 3.35572 1.63667 "2023-09-02 06:40:00" "2023-09-02 06:40:00"
46200 1.47142 3.25611 1.74958 "2023-09-02 06:50:00" "2023-09-02 06:00:00"
46200 1.47142 3.25611 1.85183 "2023-09-02 06:50:00" "2023-09-02 06:10:00"
46200 1.47142 3.25611 1.56707 "2023-09-02 06:50:00" "2023-09-02 06:20:00"
46200 1.47142 3.25611 1.59923 "2023-09-02 06:50:00" "2023-09-02 06:30:00"
46200 1.47142 3.25611 1.56159 "2023-09-02 06:50:00" "2023-09-02 06:40:00"
46200 1.47142 3.25611 1.59676 "2023-09-02 06:50:00" "2023-09-02 06:50:00"
46800 1.50629 3.15888 1.81810 "2023-09-02 07:00:00" "2023-09-02 06:10:00"
46800 1.50629 3.15888 1.50411 "2023-09-02 07:00:00" "2023-09-02 06:20:00"
46800 1.50629 3.15888 1.54022 "2023-09-02 07:00:00" "2023-09-02 06:30:00"
46800 1.50629 3.15888 1.49545 "2023-09-02 07:00:00" "2023-09-02 06:40:00"
46800 1.50629 3.15888 1.57804 "2023-09-02 07:00:00" "2023-09-02 06:50:00"
46800 1.50629 3.15888 1.60586 "2023-09-02 07:00:00" "2023-09-02 07:00:00"
47400 1.59444 3.06696 1.46674 "2023-09-02 07:10:00" "2023-09-02 06:20:00"
47400 1.59444 3.06696 1.50319 "2023-09-02 07:10:00" "2023-09-02 06:30:00"
47400 1.59444 3.06696 1.45211 "2023-09-02 07:10:00" "2023-09-02 06:40:00"
47400 1.59444 3.06696 1.56910 "2023-09-02 07:10:00" "2023-09-02 06:50:00"
47400 1.59444 3.06696 1.61441 "2023-09-02 07:10:00" "2023-09-02 07:00:00"
47400 1.59444 3.06696 1.65330 "2023-09-02 07:10:00" "2023-09-02 07:10:00"
