20230906
Seconds MEASURES_glf(%) MNH_GLF(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
46200 27.77326 39.39312 24.97143 "2023-09-07 06:50:00" "2023-09-07 06:50:00"
46800 28.40362 40.61171 28.62857 "2023-09-07 07:00:00" "2023-09-07 06:10:00"
46800 28.40362 40.61171 22.87143 "2023-09-07 07:00:00" "2023-09-07 06:20:00"
46800 28.40362 40.61171 32.51250 "2023-09-07 07:00:00" "2023-09-07 06:30:00"
46800 28.40362 40.61171 31.37143 "2023-09-07 07:00:00" "2023-09-07 06:40:00"
46800 28.40362 40.61171 24.97143 "2023-09-07 07:00:00" "2023-09-07 06:50:00"
46800 28.40362 40.61171 20.56250 "2023-09-07 07:00:00" "2023-09-07 07:00:00"
47400 34.48406 41.55550 22.87143 "2023-09-07 07:10:00" "2023-09-07 06:20:00"
47400 34.48406 41.55550 32.51250 "2023-09-07 07:10:00" "2023-09-07 06:30:00"
47400 34.48406 41.55550 31.37143 "2023-09-07 07:10:00" "2023-09-07 06:40:00"
47400 34.48406 41.55550 24.97143 "2023-09-07 07:10:00" "2023-09-07 06:50:00"
47400 34.48406 41.55550 20.56250 "2023-09-07 07:10:00" "2023-09-07 07:00:00"
47400 34.48406 41.55550 27.30000 "2023-09-07 07:10:00" "2023-09-07 07:10:00"
48000 43.19017 43.04192 32.51250 "2023-09-07 07:20:00" "2023-09-07 06:30:00"
48000 43.19017 43.04192 31.37143 "2023-09-07 07:20:00" "2023-09-07 06:40:00"
48000 43.19017 43.04192 24.97143 "2023-09-07 07:20:00" "2023-09-07 06:50:00"
48000 43.19017 43.04192 20.56250 "2023-09-07 07:20:00" "2023-09-07 07:00:00"
48000 43.19017 43.04192 27.30000 "2023-09-07 07:20:00" "2023-09-07 07:10:00"
48000 43.19017 43.04192 41.33333 "2023-09-07 07:20:00" "2023-09-07 07:20:00"
48600 52.90821 43.71830 31.37143 "2023-09-07 07:30:00" "2023-09-07 06:40:00"
48600 52.90821 43.71830 24.97143 "2023-09-07 07:30:00" "2023-09-07 06:50:00"
48600 52.90821 43.71830 20.56250 "2023-09-07 07:30:00" "2023-09-07 07:00:00"
48600 52.90821 43.71830 27.30000 "2023-09-07 07:30:00" "2023-09-07 07:10:00"
48600 52.90821 43.71830 41.33333 "2023-09-07 07:30:00" "2023-09-07 07:20:00"
48600 52.90821 43.71830 9999.00000 "2023-09-07 07:30:00" "2023-09-07 07:30:00"
49200 61.73885 44.89962 24.97143 "2023-09-07 07:40:00" "2023-09-07 06:50:00"
49200 61.73885 44.89962 20.56250 "2023-09-07 07:40:00" "2023-09-07 07:00:00"
49200 61.73885 44.89962 27.30000 "2023-09-07 07:40:00" "2023-09-07 07:10:00"
49200 61.73885 44.89962 41.33333 "2023-09-07 07:40:00" "2023-09-07 07:20:00"
49200 61.73885 44.89962 9999.00000 "2023-09-07 07:40:00" "2023-09-07 07:30:00"
49200 61.73885 44.89962 49.90000 "2023-09-07 07:40:00" "2023-09-07 07:40:00"
49800 62.65644 44.97013 20.56250 "2023-09-07 07:50:00" "2023-09-07 07:00:00"
49800 62.65644 44.97013 27.30000 "2023-09-07 07:50:00" "2023-09-07 07:10:00"
49800 62.65644 44.97013 41.33333 "2023-09-07 07:50:00" "2023-09-07 07:20:00"
49800 62.65644 44.97013 9999.00000 "2023-09-07 07:50:00" "2023-09-07 07:30:00"
49800 62.65644 44.97013 49.90000 "2023-09-07 07:50:00" "2023-09-07 07:40:00"
49800 62.65644 44.97013 63.68750 "2023-09-07 07:50:00" "2023-09-07 07:50:00"
50400 63.48168 44.79154 27.30000 "2023-09-07 08:00:00" "2023-09-07 07:10:00"
50400 63.48168 44.79154 41.33333 "2023-09-07 08:00:00" "2023-09-07 07:20:00"
50400 63.48168 44.79154 9999.00000 "2023-09-07 08:00:00" "2023-09-07 07:30:00"
50400 63.48168 44.79154 49.90000 "2023-09-07 08:00:00" "2023-09-07 07:40:00"
50400 63.48168 44.79154 63.68750 "2023-09-07 08:00:00" "2023-09-07 07:50:00"
50400 63.48168 44.79154 66.05000 "2023-09-07 08:00:00" "2023-09-07 08:00:00"
