20230927
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) "AR_WIND_SPEED (m/s)" Date_of_forecast Date_of_computing
42600 4.17720 8.61008 4.96086 "2023-09-28 05:50:00" "2023-09-28 05:00:00"
42600 4.17720 8.61008 4.42082 "2023-09-28 05:50:00" "2023-09-28 05:10:00"
42600 4.17720 8.61008 4.49241 "2023-09-28 05:50:00" "2023-09-28 05:20:00"
42600 4.17720 8.61008 3.64019 "2023-09-28 05:50:00" "2023-09-28 05:30:00"
42600 4.17720 8.61008 4.26439 "2023-09-28 05:50:00" "2023-09-28 05:40:00"
42600 4.17720 8.61008 4.20427 "2023-09-28 05:50:00" "2023-09-28 05:50:00"
43200 4.22241 8.70724 4.54844 "2023-09-28 06:00:00" "2023-09-28 05:10:00"
43200 4.22241 8.70724 4.62725 "2023-09-28 06:00:00" "2023-09-28 05:20:00"
43200 4.22241 8.70724 3.61903 "2023-09-28 06:00:00" "2023-09-28 05:30:00"
43200 4.22241 8.70724 4.43495 "2023-09-28 06:00:00" "2023-09-28 05:40:00"
43200 4.22241 8.70724 4.29730 "2023-09-28 06:00:00" "2023-09-28 05:50:00"
43200 4.22241 8.70724 4.16207 "2023-09-28 06:00:00" "2023-09-28 06:00:00"
43800 4.38770 8.84715 4.84499 "2023-09-28 06:10:00" "2023-09-28 05:20:00"
43800 4.38770 8.84715 3.69305 "2023-09-28 06:10:00" "2023-09-28 05:30:00"
43800 4.38770 8.84715 4.66314 "2023-09-28 06:10:00" "2023-09-28 05:40:00"
43800 4.38770 8.84715 4.47915 "2023-09-28 06:10:00" "2023-09-28 05:50:00"
43800 4.38770 8.84715 4.24990 "2023-09-28 06:10:00" "2023-09-28 06:00:00"
43800 4.38770 8.84715 4.43571 "2023-09-28 06:10:00" "2023-09-28 06:10:00"
44400 4.63228 9.14314 4.05287 "2023-09-28 06:20:00" "2023-09-28 05:30:00"
44400 4.63228 9.14314 5.17668 "2023-09-28 06:20:00" "2023-09-28 05:40:00"
44400 4.63228 9.14314 4.95716 "2023-09-28 06:20:00" "2023-09-28 05:50:00"
44400 4.63228 9.14314 4.66369 "2023-09-28 06:20:00" "2023-09-28 06:00:00"
44400 4.63228 9.14314 4.91256 "2023-09-28 06:20:00" "2023-09-28 06:10:00"
44400 4.63228 9.14314 4.66291 "2023-09-28 06:20:00" "2023-09-28 06:20:00"
45000 4.82887 9.41342 5.65592 "2023-09-28 06:30:00" "2023-09-28 05:40:00"
45000 4.82887 9.41342 5.39472 "2023-09-28 06:30:00" "2023-09-28 05:50:00"
45000 4.82887 9.41342 5.04735 "2023-09-28 06:30:00" "2023-09-28 06:00:00"
45000 4.82887 9.41342 5.35303 "2023-09-28 06:30:00" "2023-09-28 06:10:00"
45000 4.82887 9.41342 4.94902 "2023-09-28 06:30:00" "2023-09-28 06:20:00"
45000 4.82887 9.41342 4.81407 "2023-09-28 06:30:00" "2023-09-28 06:30:00"
45600 4.98105 9.78288 5.86544 "2023-09-28 06:40:00" "2023-09-28 05:50:00"
45600 4.98105 9.78288 5.47029 "2023-09-28 06:40:00" "2023-09-28 06:00:00"
45600 4.98105 9.78288 5.82863 "2023-09-28 06:40:00" "2023-09-28 06:10:00"
45600 4.98105 9.78288 5.32952 "2023-09-28 06:40:00" "2023-09-28 06:20:00"
45600 4.98105 9.78288 5.13007 "2023-09-28 06:40:00" "2023-09-28 06:30:00"
45600 4.98105 9.78288 5.01614 "2023-09-28 06:40:00" "2023-09-28 06:40:00"
46200 5.14175 10.11382 5.92928 "2023-09-28 06:50:00" "2023-09-28 06:00:00"
46200 5.14175 10.11382 6.32929 "2023-09-28 06:50:00" "2023-09-28 06:10:00"
46200 5.14175 10.11382 5.74390 "2023-09-28 06:50:00" "2023-09-28 06:20:00"
46200 5.14175 10.11382 5.50265 "2023-09-28 06:50:00" "2023-09-28 06:30:00"
46200 5.14175 10.11382 5.24860 "2023-09-28 06:50:00" "2023-09-28 06:40:00"
46200 5.14175 10.11382 5.13167 "2023-09-28 06:50:00" "2023-09-28 06:50:00"
46800 5.19052 10.34154 6.67234 "2023-09-28 07:00:00" "2023-09-28 06:10:00"
46800 5.19052 10.34154 6.01092 "2023-09-28 07:00:00" "2023-09-28 06:20:00"
46800 5.19052 10.34154 5.72950 "2023-09-28 07:00:00" "2023-09-28 06:30:00"
46800 5.19052 10.34154 5.39432 "2023-09-28 07:00:00" "2023-09-28 06:40:00"
46800 5.19052 10.34154 5.23414 "2023-09-28 07:00:00" "2023-09-28 06:50:00"
46800 5.19052 10.34154 5.30921 "2023-09-28 07:00:00" "2023-09-28 07:00:00"
47400 5.15474 10.63737 6.40326 "2023-09-28 07:10:00" "2023-09-28 06:20:00"
47400 5.15474 10.63737 6.08933 "2023-09-28 07:10:00" "2023-09-28 06:30:00"
47400 5.15474 10.63737 5.68960 "2023-09-28 07:10:00" "2023-09-28 06:40:00"
47400 5.15474 10.63737 5.50069 "2023-09-28 07:10:00" "2023-09-28 06:50:00"
47400 5.15474 10.63737 5.60709 "2023-09-28 07:10:00" "2023-09-28 07:00:00"
47400 5.15474 10.63737 5.12270 "2023-09-28 07:10:00" "2023-09-28 07:10:00"
48000 5.10107 10.71622 6.25537 "2023-09-28 07:20:00" "2023-09-28 06:30:00"
48000 5.10107 10.71622 5.78958 "2023-09-28 07:20:00" "2023-09-28 06:40:00"
48000 5.10107 10.71622 5.57075 "2023-09-28 07:20:00" "2023-09-28 06:50:00"
48000 5.10107 10.71622 5.70596 "2023-09-28 07:20:00" "2023-09-28 07:00:00"
48000 5.10107 10.71622 4.98263 "2023-09-28 07:20:00" "2023-09-28 07:10:00"
